"Ndx","Phrase","CaseSensitive"
"1","afar off","0"
"2","after the Spirit","0"
"3","baptiz*","0"
"4","beast of the earth","0"
"5","blessed are th*","0"
"6","blessed are th*","1"
"7","blessed them","0"
"8","church","0"
"9","familiar spirit*","0"
"10","fish of the sea","0"
"11","fowl of the air","0"
"12","giants","0"
"13","God created","0"
"14","God said","0"
"15","in Christ","0"
"16","multiply","0"
"17","my test","1"
"18","passover*","0"
"19","Philistines","0"
"20","the beast","0"
"21","the deep","0"
"22","this is the day","0"
"23","with the Holy Ghost","1"
"24","with water","0"
